e1 gin gout
0.48000246 1.16225152 0.03974045
0.48000011 1.16349545 0.03975623
0.48000091 1.15827022 0.03970510
0.48000026 1.15416949 0.03969839
0.48000112 1.15701264 0.03970029
0.48000108 1.15583295 0.03970549
0.48000557 1.15841336 0.03971406
0.48000596 1.15648584 0.03970790
0.48000458 1.15759753 0.03973842
0.48000306 1.16328271 0.03978113
0.48000175 1.16360218 0.03973024
0.48000168 1.16415986 0.03974465
0.48000214 1.16421549 0.03974962
0.48000514 1.16289140 0.03975664
0.48000616 1.16003218 0.03973546
0.48000579 1.15873261 0.03972040
0.48000172 1.15756685 0.03973221
0.48000655 1.15752262 0.03973555
0.48000714 1.15788279 0.03973395
0.48000725 1.16169442 0.03975701
0.48000456 1.16071689 0.03974314
0.48000540 1.15981367 0.03975311
0.48000148 1.15817106 0.03973569
0.48000109 1.15973203 0.03974814
0.48000197 1.16180851 0.03971397
0.48000304 1.16028369 0.03975227
0.48000401 1.15991489 0.03975041
0.48000104 1.16050949 0.03974602
0.48000736 1.15836115 0.03974786
0.48000821 1.15905637 0.03972036
0.48000790 1.15906154 0.03971088
0.48000878 1.15878070 0.03972093
0.48000602 1.16085984 0.03975980
0.48000034 1.16203175 0.03974286
0.48000198 1.16307792 0.03976361
0.48000183 1.16174792 0.03974546
0.48000286 1.16235664 0.03975045
0.48000059 1.16274437 0.03975972
0.48000238 1.15858224 0.03972525
0.48000276 1.15843863 0.03972792
0.48000099 1.15917404 0.03974143
0.48000021 1.16087674 0.03975475
0.48000150 1.16097651 0.03972900
0.48000125 1.16490811 0.03973202
0.48000053 1.16046265 0.03975100
0.48000043 1.16189556 0.03976850
0.48000276 1.16311296 0.03974032
0.48000241 1.16103701 0.03972902
0.48000438 1.15763451 0.03973181
0.48000390 1.15986825 0.03973427
0.48001172 1.15689035 0.03971339
0.48000999 1.16041179 0.03971149
0.48001072 1.15718655 0.03972905
0.48000455 1.15780975 0.03973362
0.48000323 1.16005920 0.03971029
0.48000635 1.15888799 0.03971216
0.48000056 1.15745756 0.03972523
0.48000104 1.15831376 0.03972598
0.48000008 1.15825253 0.03971798
0.48000250 1.15840099 0.03970250
0.48000310 1.15471437 0.03971544
0.48000238 1.16107622 0.03972785
0.48000176 1.15691760 0.03975759
0.48000223 1.16018242 0.03973654
0.48000126 1.16072340 0.03973468
0.48000285 1.15899722 0.03970774
0.48000525 1.15410547 0.03972048
0.48000377 1.15930432 0.03973075
0.48000095 1.15956456 0.03974045
0.48000732 1.16023736 0.03974719
0.48000693 1.16018060 0.03975578
0.48000510 1.15948473 0.03969085
0.48000497 1.15584773 0.03969582
0.48000533 1.15788500 0.03969622
0.48000353 1.15310778 0.03969834
0.48000504 1.15441318 0.03970380
