"x","y","quant"
95808974.8884793,1.20518730407298e-07,"3"
95839464.2661356,1.18978048295097e-07,"3"
95869953.643792,1.17451859630913e-07,"3"
95900443.0214484,1.15940971599754e-07,"3"
95930932.3991048,1.14444321500487e-07,"3"
95961421.7767612,1.1295829910234e-07,"3"
95991911.1544176,1.11482205127754e-07,"3"
96022400.532074,1.10015418259745e-07,"3"
96052889.9097304,1.08559601398683e-07,"3"
96083379.2873868,1.07113039566842e-07,"3"
96113868.6650432,1.05674945594823e-07,"3"
96144358.0426996,1.04245568550201e-07,"3"
96174847.420356,1.02825303094189e-07,"3"
96205336.7980123,1.01418890213647e-07,"3"
96235826.1756687,1.00024102843865e-07,"3"
96266315.5533251,9.86421433886376e-08,"3"
96296804.9309815,9.72743099515924e-08,"3"
96327294.3086379,9.59240350945897e-08,"3"
96357783.6862943,9.4596906392607e-08,"3"
96388273.0639507,9.32906575114066e-08,"3"
96418762.4416071,9.20071284236999e-08,"3"
96449251.8192635,9.07481815192225e-08,"3"
96479741.1969199,8.95222778247156e-08,"3"
96510230.5745763,8.83309643657102e-08,"3"
96540719.9522327,8.71718827853642e-08,"3"
96571209.3298891,8.60466863121042e-08,"3"
96601698.7075454,8.49569588545441e-08,"3"
96632188.0852018,8.39170575430934e-08,"3"
96662677.4628582,8.29181714491718e-08,"3"
96693166.8405146,8.19594548681653e-08,"3"
96723656.218171,8.10415223255945e-08,"3"
96754145.5958274,8.01675255943051e-08,"3"
96784634.9734838,7.93474025950304e-08,"3"
96815124.3511402,7.85680060948034e-08,"3"
96845613.7287966,7.78285568241223e-08,"3"
96876103.106453,7.71280941731624e-08,"3"
96906592.4841094,7.64714725191148e-08,"3"
96937081.8617658,7.58563552780427e-08,"3"
96967571.2394221,7.52731632261316e-08,"3"
96998060.6170785,7.47195060900132e-08,"3"
97028549.9947349,7.41928383161961e-08,"3"
97059039.3723913,7.36954701954861e-08,"3"
97089528.7500477,7.32175639621858e-08,"3"
97120018.1277041,7.27536607879172e-08,"3"
97150507.5053605,7.23002559752347e-08,"3"
97180996.8830169,7.18537824394349e-08,"3"
97211486.2606733,7.14085447459725e-08,"3"
97241975.6383297,7.09583739464273e-08,"3"
97272465.0159861,7.04995291867399e-08,"3"
97302954.3936425,7.00283068556321e-08,"3"
97333443.7712989,6.9538190971408e-08,"3"
97363933.1489552,6.90204154443466e-08,"3"
97394422.5266116,6.84758855910992e-08,"3"
97424911.904268,6.79016023752199e-08,"3"
97455401.2819244,6.72947041699715e-08,"3"
97485890.6595808,6.66431426523721e-08,"3"
97516380.0372372,6.59466829064345e-08,"3"
97546869.4148936,6.52085470669184e-08,"3"
97577358.79255,6.44273184422884e-08,"3"
97607848.1702064,6.36017802451067e-08,"3"
97638337.5478628,6.27151918239332e-08,"3"
97668826.9255192,6.17815919587967e-08,"3"
97699316.3031756,6.08024547163038e-08,"3"
97729805.6808319,5.9778269992209e-08,"3"
97760295.0584883,5.8706270801995e-08,"3"
97790784.4361447,5.75798432400113e-08,"3"
97821273.8138011,5.64135122093882e-08,"3"
97851763.1914575,5.52092326964712e-08,"3"
97882252.5691139,5.39690992666849e-08,"3"
97912741.9467703,5.26899033544052e-08,"3"
97943231.3244267,5.13768178223815e-08,"3"
97973720.7020831,5.00385781152949e-08,"3"
98004210.0797395,4.86780649534285e-08,"3"
98034699.4573959,4.7298208638482e-08,"3"
98065188.8350523,4.58989737574982e-08,"3"
98095678.2127087,4.44888521254926e-08,"3"
98126167.590365,4.30718765397515e-08,"3"
98156656.9680214,4.16509671363281e-08,"3"
98187146.3456778,4.02291340549138e-08,"3"
98217635.7233342,3.88119065002942e-08,"3"
98248125.1009906,3.74020604296735e-08,"3"
98278614.478647,3.60019776250231e-08,"3"
98309103.8563034,3.46139501517139e-08,"3"
98339593.2339598,3.32427418824068e-08,"3"
98370082.6116162,3.18932690514934e-08,"4"
98400571.9892726,3.05638248201925e-08,"4"
98431061.3669289,2.92559142874207e-08,"4"
98461550.7445854,2.79709475789352e-08,"4"
98492040.1222417,2.67168626963891e-08,"4"
98522529.4998981,2.54921264755637e-08,"4"
98553018.8775545,2.4294635585718e-08,"4"
98583508.2552109,2.31251051897178e-08,"4"
98613997.6328673,2.19841778471916e-08,"4"
98644487.0105237,2.08832001792157e-08,"4"
98674976.3881801,1.98124304428717e-08,"4"
98705465.7658365,1.8771836994435e-08,"4"
98735955.1434929,1.77616177852129e-08,"4"
98766444.5211493,1.67849542016917e-08,"4"
98796933.8988057,1.5847219543881e-08,"4"
98827423.276462,1.49401207187191e-08,"4"
98857912.6541184,1.40636097268539e-08,"4"
98888402.0317748,1.32176185796115e-08,"4"
98918891.4094312,1.24082932766123e-08,"4"
98949380.7870876,1.16340376796211e-08,"4"
98979870.164744,1.08897286582517e-08,"4"
99010359.5424004,1.01751719716292e-08,"4"
99040848.9200568,9.49016047724539e-09,"4"
99071338.2977132,8.8435268541677e-09,"4"
99101827.6753696,8.22723886211113e-09,"4"
99132317.053026,7.63940021358977e-09,"4"
99162806.4306824,7.07969747594167e-09,"4"
99193295.8083387,6.54925199153626e-09,"4"
99223785.1859951,6.05460567482427e-09,"4"
