"T(GK)","mu","lwr1","lwr2","lwr3","upr1","upr2","upr3"
0.559081018251223,34433321.1124053,33737245.4276437,32578807.9710006,31869912.8950385,35099215.9303472,36426908.9765359,36693213.1335032
0.613590727341318,41702858.8683595,40826772.2597551,39448376.0140663,38639702.602002,42475221.0444004,44095138.9965527,44440425.560223
0.673415065775082,49661326.6132585,48647362.3714286,46989492.6432629,46064676.3035914,50554844.5176161,52545417.0049161,53034347.0438884
0.739072203352579,58210855.1950655,57011336.6811701,55064610.9862453,53991503.9153412,59275875.4290976,61609136.9673555,62294283.0166732
0.811130830789688,67130889.2258068,65856839.710916,63496834.5819947,62306443.801433,68437364.6903315,71077186.0030581,71904179.0245031
0.89021508544504,76346101.9948572,74868857.892934,72151383.1000631,70828625.7701972,77789151.4807371,80773345.9941182,81752902.016563
0.977009957299226,85541279.6377738,83925074.9324459,80819805.7631253,79359582.7009374,87184520.8082371,90496877.9378381,91619093.0605174
1.07226722201032,94552195.779758,92729365.6762969,89284446.3363585,87694289.7961264,96350463.8338186,100031265.792637,101298453.038748
1.176811952435,103092233.915288,101117873.864623,97257807.9246788,95598920.554386,105146161.869026,109124373.246433,110556374.172777
1.29154966501488,111007715.314099,108876495.829438,104692526.783382,102917317.543218,113240668.039368,117542005.037505,119160331.907208
1.41747416292681,118176534.31173,115876486.873914,111446661.057351,109361912.862017,120573337.692833,125128175.517499,126920450.739834
1.55567614393047,124402463.712443,121921357.95167,117282460.742037,114918501.279714,126938494.461355,131654434.827192,133680404.537718
1.70735264747069,129605834.467,126940526.49979,122043713.303008,119494212.641301,132216432.298936,137115931.246429,139322233.15822
1.87381742286039,133665952.463337,130864151.343709,125721336.000076,123031481.662363,136313092.575242,141402542.884941,143768431.14793
2.05651230834865,136562493.588288,133641384.164115,128316811.200407,125588134.256121,139155244.825155,144478475.71512,146981512.399709
2.25701971963392,138250900.097555,135282920.553279,129839252.979539,127119679.980707,140964918.698702,146345657.014265,148961463.416899
2.47707635599171,138823603.71082,135916641.93007,130323776.711559,127629792.03587,141598841.409813,147065047.922129,149741629.140877
2.71858824273294,138341193.603592,135476806.700727,129829163.231685,127175399.111536,141183579.789618,146694259.572938,149383518.892016
2.98364724028334,136868968.872976,133984550.213043,128432715.123486,125831886.914709,139777381.190362,145257677.04521,147971065.231557
3.27454916287773,134591468.452586,131684286.029538,126225114.707701,123688015.202322,137498072.739208,142876499.39974,145604765.690265
3.59381366380463,131537818.083038,128646743.075236,123305539.32079,120841093.915912,134378869.501173,139671215.458216,142396061.282269
3.94420605943766,127864883.517945,125009846.021141,119777266.793902,117365428.600186,130580299.84852,135780879.161607,138462210.474012
4.32876128108306,123593179.003445,120836128.738969,115730311.593303,113384246.947226,126236947.507417,131310995.587932,133921826.728975
4.7508101621028,118865898.192018,116181180.713851,111275980.017416,109008614.80819,121488968.421416,126351910.935489,128891167.621582
5.21400828799969,113765286.438666,111239924.492441,106512837.085408,104332573.500288,116328620.103848,120991664.805748,123481197.740931
5.72236765935023,108469995.505795,106003129.69388,101529852.930401,99443220.7093173,110914020.699923,115334442.843615,117795397.587909
6.28029144183425,102994870.011321,100608913.771184,96407785.4714725,94419559.9709167,105334638.874508,109501312.360032,111928255.827682
6.8926121043497,97473611.1016055,95239004.5496791,91218504.8756453,89331851.4812562,99670391.3880819,103588646.252736,105964360.785928
7.5646332755463,91908220.2835068,89835829.2751137,86014073.8754746,84241378.7618857,93950476.3453815,97704118.561023,99977995.8009091
8.30217568131975,86365824.0164237,84479678.8599575,80873755.5034589,79200547.9927227,88278958.0665514,91888953.7992789,94033143.0034806
9.1116275611549,80945620.3536277,79192113.8823247,75837643.1938079,74253238.4443379,82749041.8556495,86171972.9720117,88183802.1095116
10,75676985.9906501,74061250.2061775,70929223.5884793,69435337.6798676,77347871.7281581,80571460.5811063,82474540.8785213
